연도,원자력,석탄,LNG,신재생,유류,양수,기타
2010,31.3,41.8,20.3,1.7,2.5,0.6,1.9
2011,31.1,40.2,20.8,2.5,2.1,0.7,2.7
2012,29.5,39.1,22.3,2.5,2.9,0.7,2.9
2013,26.8,38.9,24.7,2.8,2.9,0.8,3.1
2014,30,39,21.5,3.3,1.5,1,3.7
2015,31.2,39.3,19.1,3.7,1.8,0.7,4.3
2016,30,39.6,22.4,4.8,2.6,0.7,0
2017,26.8,43.1,22.8,5.6,1,0.8,0
2018,23.4,41.9,26.8,6.2,1,0.7,0
2019,25.9,40.4,25.6,6.5,0.6,0.6,0.4
2020,29,35.6,26.4,6.6,0.4,0.6,1.4
2021,27.4,34.3,29.2,7.5,0.4,0.6,0.6
2022,29.6,32.5,27.5,8.9,0.3,0.6,0.5
2023,30.7,31.4,26.8,9.6,0.3,0.6,0.5
2024,31.7,28.1,28.1,10.5,0.2,0.8,0.6
